UniqueId,CallingNumber,CalledNumber,CallStartTime,CallDuration,Dispostion,CallType,Channel,DstChannel,Latitude,Longitude,Region
6378,3265978451,3200056596,2015-09-16 19:20:54,455,FAILED,SMS,234515114-5,669371285-1,-7.1406,107.0033,Milan
1678,3695847123,3200056596,2015-12-15 16:20:15,110,ANSWERED,VOICE,605824178-2,499986780-X,43.5942,13.5034,Rome
7139,3695847123,3504003456,2015-12-25 02:52:41,326,MISSED,SMS,679966824-4,381893319-7,58.3013,57.8131,Rome
6875,3698748211,3256015004,2015-11-30 18:34:20,365,BUSY,SMS,590808415-8,461083685-8,40.99976,111.44401,Aosta
1800,3256867412,3689000589,2015-12-12 11:11:50,455,BUSY,SMS,666035003-9,025769812-4,43.01528,17.56556,Aosta
6844,3698748211,3999756035,2015-11-07 19:50:21,122,FAILED,VOICE,584953085-1,577939090-8,58.3478,11.9424,Aosta
1045,3256867412,3504003456,2015-08-05 10:54:13,789,BUSY,VOICE,368355027-9,941051242-5,42.12556,21.59778,Venice
5701,3265487965,3458611236,2015-09-30 14:42:50,365,ANSWERED,SMS,407777432-2,873390630-0,33.9328,-84.556,Milan
9592,3265978451,3789546235,2015-09-29 19:29:02,789,REJECTED,VOICE,162245284-4,431915539-4,-7.2994,108.1133,Genoa
4130,3987456213,3458611236,2015-11-18 07:16:05,256,REJECTED,SMS,764604462-8,776106981-6,47.2333,16.6167,Florence
5578,3695847123,3256015004,2015-08-08 16:20:52,456,FAILED,VOICE,012986184-7,898131585-X,16.09835,-88.8097,Naples
5265,3256867412,3999756035,2015-11-03 09:54:56,780,MISSED,SMS,101545568-9,178000258-0,-35.00014,-61.03508,Rome
6539,3560891267,3122560004,2015-08-01 03:56:37,111,ANSWERED,VOICE,398554633-9,730128465-9,46.09237,91.54796,Naples
7376,3265978452,3256015004,2015-11-26 02:05:30,120,REJECTED,SMS,135252694-8,110719940-9,-7.0066,114.0279,Aosta
7364,3265978452,3504003456,2015-12-28 13:13:11,326,REJECTED,SMS,767665431-9,896867436-1,59.1323,12.9289,Naples
2064,3216549870,3200056596,2015-11-17 12:46:54,458,BUSY,SMS,569088535-5,988828213-1,49.86359,18.09331,Genoa
4612,3560891267,3900026678,2015-10-03 10:29:14,365,FAILED,SMS,143388643-X,840894100-3,34.72807,135.30264,Aosta
9158,3987456213,3568900007,2015-10-01 18:00:37,326,MISSED,VOICE,646818259-X,706883557-0,59.0657,15.1117,Aosta
9461,3569874512,3256015004,2015-08-30 03:59:07,100,MISSED,SMS,245515157-3,436685544-5,44.36548,20.95885,Florence
4461,3256987456,3256015004,2015-12-16 10:01:10,256,BUSY,VOICE,229195666-3,773605578-5,27.27168,115.11867,Rome
2075,3698748211,3899600054,2015-09-13 05:58:30,111,MISSED,VOICE,776373553-8,767085044-2,55.29639,21.37583,Milan
3232,3659778412,3789546235,2015-10-18 22:23:57,122,FAILED,SMS,393623837-5,426045038-7,35.6169,45.95338,Milan
4829,3216549870,3999756035,2015-12-22 00:46:02,220,FAILED,SMS,761158632-7,887977490-5,49.75565,12.997,Naples
1675,3256987456,3504003456,2015-09-01 14:47:22,100,ANSWERED,SMS,143460884-0,267114112-2,54.4,23.65,Genoa
8583,3256867412,3256015004,2015-12-29 10:43:59,111,BUSY,VOICE,777489290-7,979832695-4,40.11718,116.41715,Aosta
6252,3695847123,3899600054,2015-11-03 13:12:46,111,BUSY,SMS,590402252-2,470367223-5,-19.00917,-57.65333,Milan
6183,3569874514,3899600054,2015-11-17 20:33:01,365,BUSY,VOICE,426041720-7,116990520-X,22.29543,91.979,Rome
3254,3987456213,3200056596,2015-12-06 19:02:55,326,ANSWERED,VOICE,106761751-5,547837326-5,28.22327,109.81196,Genoa
